"","indicator","name","description","sourceDatabase","sourceOrganization"
"171","9.0.Unemp.B40","Unemployed-Bottom 40 Percent (%)","Share of the labor force (ages 18-65) in the bottom 40 percent that is unemployed","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"172","9.0.Unemp.T60","Unemployed-Top 60 Percent (%)","Share of the labor force (ages 18-65) in the top 60 percent that is unemployed","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"173","9.0.Unpaid.All","Unpaid Workers (%)","Share of the labor force (ages 18-65) that works without pay","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"174","9.0.Unpaid.B40","Unpaid Workers-Bottom 40 Percent (%)","Share of the labor force (ages 18-65) in the bottom 40 percent that works without pay","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"175","9.0.Unpaid.T60","Unpaid Workers-Top 60 Percent (%)","Share of the labor force (ages 18-65) in the top 60 percent that works without pay","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"176","9.1.Employee.All","Employees (%), Male","Share of the male labor force (ages 18-65) that is a wage or salary worker","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"177","9.1.Employee.B40","Employees-Bottom 40 Percent (%), Male","Share of the male labor force (ages 18-65) in the bottom 40 percent that is a wage or salary worker","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"178","9.1.Employee.T60","Employees-Top 60 Percent (%), Male","Share of the male labor force (ages 18-65) in the top 60 percent that is a wage or salary worker","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"179","9.1.Employer.All","Employers (%), Male","Share of the male labor force (ages 18-65) that is an employer","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"180","9.1.Employer.B40","Employers-Bottom 40 Percent (%), Male","Share of the male labor force (ages 18-65) in the bottom 40 percent that is an employer","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"181","9.1.Employer.T60","Employers-Top 60 Percent (%), Male","Share of the male labor force (ages 18-65) in the top 60 percent that is an employer","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"182","9.1.Labor.All","Labor Force Participation Rate (%), Male","Share of the male population (ages 18-65) that is in the labor force","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"183","9.1.Labor.B40","Labor Force Participation Rate (%)-Bottom 40 Percent, Male","Share of the male population (ages 18-65) in the Bottom 40 percent that is in the labor force","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"184","9.1.Labor.T60","Labor Force Participation Rate (%)-Top 60 Percent, Male","Share of the male population (ages 18-65) in the Top 60 percent that is in the labor force","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"185","9.1.SelfEmp.All","Self-Employed (%), Male","Share of the male labor force (ages 18-65) that is self-employed and not an employer","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"186","9.1.SelfEmp.B40","Self-Employed-Bottom 40 Percent (%), Male","Share of the male labor force (ages 18-65) in the bottom 40 percent that is self-employed and not an employer","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"187","9.1.SelfEmp.T60","Self-Employed-Top 60 Percent (%), Male","Share of the male labor force (ages 18-65) in the top 60 percent that is a self-employed and not an employer","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"188","9.1.Unemp.All","Unemployed (%), Male","Share of the male labor force (ages 18-65) that is unemployed","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"189","9.1.Unemp.B40","Unemployed-Bottom 40 Percent (%), Male","Share of the male labor force (ages 18-65) in the bottom 40 percent that is unemployed","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"190","9.1.Unemp.T60","Unemployed-Top 60 Percent (%), Male","Share of the male labor force (ages 18-65) in the top 60 percent that is unemployed","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"191","9.1.Unpaid.All","Unpaid Workers (%), Male","Share of the male labor force (ages 18-65) that works without pay","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"192","9.1.Unpaid.B40","Unpaid Workers-Bottom 40 Percent (%), Male","Share of the male labor force (ages 18-65) in the bottom 40 percent that works without pay","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"193","9.1.Unpaid.T60","Unpaid Workers-Top 60 Percent (%), Male","Share of the male labor force (ages 18-65) in the top 60 percent that works without pay","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"194","9.2.Employee.All","Employees (%), Female","Share of the female labor force (ages 18-65) that is a wage or salary worker","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"195","9.2.Employee.B40","Employees-Bottom 40 Percent (%), Female","Share of the female labor force (ages 18-65) in the bottom 40 percent that is a wage or salary worker","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"196","9.2.Employee.T60","Employees-Top 60 Percent (%), Female","Share of the female labor force (ages 18-65) in the top 60 percent that is a wage or salary worker","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"197","9.2.Employer.All","Employers (%), Female","Share of the female labor force (ages 18-65) that is an employer","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"198","9.2.Employer.B40","Employers-Bottom 40 Percent (%), Female","Share of the female labor force (ages 18-65) in the bottom 40 percent that is an employer","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"199","9.2.Employer.T60","Employers-Top 60 Percent (%), Female","Share of the female labor force (ages 18-65) in the top 60 percent that is an employer","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"200","9.2.Labor.All","Labor Force Participation Rate (%), Female","Share of the female population (ages 18-65) that is in the labor force","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"201","9.2.Labor.B40","Labor Force Participation Rate (%)-Bottom 40 Percent, Female","Share of the female population (ages 18-65) in the Bottom 40 percent that is in the labor force","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"202","9.2.Labor.T60","Labor Force Participation Rate (%)-Top 60 Percent, Female","Share of the female population (ages 18-65) in the Top 60 percent that is in the labor force","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"203","9.2.SelfEmp.All","Self-Employed (%), Female","Share of the female labor force (ages 18-65) that is self-employed and not an employer","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"204","9.2.SelfEmp.B40","Self-Employed-Bottom 40 Percent (%), Female","Share of the female labor force (ages 18-65) in the bottom 40 percent that is self-employed and not an employer","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"205","9.2.SelfEmp.T60","Self-Employed-Top 60 Percent (%), Female","Share of the female labor force (ages 18-65) in the top 60 percent that is a self-employed and not an employer","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"206","9.2.Unemp.All","Unemployed (%), Female","Share of the female labor force (ages 18-65) that is unemployed","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"207","9.2.Unemp.B40","Unemployed-Bottom 40 Percent (%), Female","Share of the female labor force (ages 18-65) in the bottom 40 percent that is unemployed","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"208","9.2.Unemp.T60","Unemployed-Top 60 Percent (%), Female","Share of the female labor force (ages 18-65) in the top 60 percent that is unemployed","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"209","9.2.Unpaid.All","Unpaid Workers (%), Female","Share of the female labor force (ages 18-65) that works without pay","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"210","9.2.Unpaid.B40","Unpaid Workers-Bottom 40 Percent (%), Female","Share of the female labor force (ages 18-65) in the bottom 40 percent that works without pay","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"211","9.2.Unpaid.T60","Unpaid Workers-Top 60 Percent (%), Female","Share of the female labor force (ages 18-65) in the top 60 percent that works without pay","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
